phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;decorticated wood;  8,362941107; 8,607089001
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;epiphytic on living wood;  6,007128542; 8,607089001
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;gravel or sand;  9,181706022; 8,607089001
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;rock, hard;  7,957455317; 8,607089001
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;mineral soil;  9,731308329; 8,607089001
Bryophyta; 958; 53;126;227;227;0,23788546;0,559471366;5;4; 6;5;4;soil on rock;  8,546959627; 8,607089001
Bryophyta; 967;  6;  8;227;227;0,03083700;0,039647577;7;2; 4;7;5;gravel or sand; -0,408763915;-1,164573910
Bryophyta; 967;  6;  8;227;227;0,03083700;0,039647577;7;2; 4;7;5;rock, hard; -0,805423186;-1,164573910
Bryophyta; 967;  6;  8;227;227;0,03083700;0,039647577;7;2; 4;7;5;artificial stone; -0,481647893;-1,164573910
Bryophyta; 967;  6;  8;227;227;0,03083700;0,039647577;7;2; 4;7;5;soil on rock; -0,612296329;-1,164573910
Bryophyta; 974; 11;  7;227;227;0,05286344;0,035242291;8;3; 3;8;7;mineral soil; -2,144170147;-3,315605692
Bryophyta; 974; 11;  7;227;227;0,05286344;0,035242291;8;3; 3;8;7;soil on rock; -2,529635307;-3,315605692
Bryophyta; 975; 14;  9;227;227;0,06607930;0,044052863;3;5; 4;8;8;rock, hard; -2,997083192;-3,946490398
Bryophyta; 975; 14;  9;227;227;0,06607930;0,044052863;3;5; 4;8;8;rock, soft; -2,866041463;-3,946490398
